verb 	 pdt_valency_frame 	 agent_noun
amputovat 	 v41bhA 	 amputář
archivovat 	 v41cgA 	 archivář
asfaltovat 	 v41cmA 	 asfalťák
bádat 	 v41dmA 	 badatel
barvit 	 v41eaA 	 barvič, barvář
básnit 	 v41eeA 	 básník
betonovat 	 v41ezA 	 betonář
blokovat 	 v41geA 	 blokař
bouchat 	 v41hdA 	 bouchač
bourat 	 v41hhA 	 bourač
brousit 	 v41igA 	 brusič
cementovat 	 v41kbA 	 cementář
cestovat 	 v41kpA 	 cestovatel
clít 	 v41lnA 	 celník
ctít 	 v41lvA 	 ctitel
čalounit 	 v41miA 	 čalouník
čichat 	 v41njA 	 čichač
danit 	 v41peA 	 daňař
darovat 	 v41pjA 	 darovník, dárce
dědit 	 v41qjA 	 dědič
dobývat 	 v41wgA 	 dobyvatel
dohlížet 	 v41xzA 	 dohlížitel, dohližitel, dohlížeč
dohodnout 	 v41ydA 	 dohodce
dochodit 	 v41ynA 	 důchodce
doporučovat 	 v41addA 	 doporučovatel
dozírat 	 v41ajgA 	 dozorčí, dozorce
drancovat 	 v41akfA 	 drancovník
dražit 	 v41aklA 	 dražitel
dřít 	 v41aljA 	 dříč
falšovat 	 v41apgA 	 falšovatel
filmovat 	 v41aqdA 	 filmař
financovat 	 v41aqmA 	 financovatel
flákat 	 v41aqrA 	 flákač
hádat 	 v41atlA 	 hádač, hadač
hanobit 	 v41atyA 	 hanobitel
hasit 	 v41augA 	 hasič
hladit 	 v41auzA 	 hladič
hlídat 	 v41avsA 	 hlídač
hlídkovat 	 v41avuA 	 hlídkař
hodovat 	 v41awsA 	 hodovník
holit 	 v41awwA 	 holič
hostit 	 v41axoA 	 hostitel
hrabat 	 v41ayfA 	 hrabač, hrabáč
hulit 	 v41azuA 	 hulič
chlácholit 	 v41bbaA 	 chlácholitel
chrápat 	 v41bbxA 	 chrápač
kácet 	 v41biuA 	 káceč
kalit 	 v41biwA 	 kalič
kárat 	 v41bjqA 	 karatel
kázat 	 v41bkdA 	 kazatel
klamat 	 v41bkpA 	 klamatel
kočovat 	 v41bmmA 	 kočovník
koledovat 	 v41bnhA 	 koledník
konejšit 	 v41bpqA 	 konejšitel
koupit 	 v41btrA 	 kupec
krájet 	 v41bujA 	 krejčí
kreslit 	 v41butA 	 kreslič
krmit 	 v41bvfA 	 krmič
kropit 	 v41bviA 	 kropič
křísit 	 v41bweA 	 křísitel
křtít 	 v41bwjA 	 křtitel
kšeftovat 	 v41bwkA 	 kšeftař
kuchat 	 v41bwlA 	 kuchař
lepit 	 v41bzoA 	 lepič
lichotit 	 v41cauA 	 lichotník
lisovat 	 v41cbcA 	 lisovač
luštit 	 v41ccrA 	 luštitel
lyžovat 	 v41ccwA 	 lyžník, lyžař
mapovat 	 v41cedA 	 mapovatel, mapovač
metat 	 v41cfxA 	 metař
milovat 	 v41cgmA 	 milovník, milec
mírnit 	 v41chaA 	 mírnitel
mlžit 	 v41chyA 	 mlžič
množit 	 v41cibA 	 množitel
modelovat 	 v41cilA 	 modelář
mrzet 	 v41cjvA 	 mrzák
mučit 	 v41ckaA 	 mučitel
mýt 	 v41ckpA 	 myč
nabízet 	 v41clwA 	 nabízeč
nadhazovat 	 v41cnxA 	 nadhazovač
nadržovat 	 v41cooA 	 nadržovatel
nahánět 	 v41cplA 	 naháněč
najímat 	 v41crmA 	 najímatel, nájemník
najíždět 	 v41crqA 	 nájezdník
najmout 	 v41crrA 	 nájemce
nakoupit 	 v41csoA 	 nákupčí, nákupce
napodobit 	 v41cxkA 	 napodobitel
napodobovat 	 v41cxmA 	 napodobovatel
napravit 	 v41cyhA 	 napravitel, nápravce
napravovat 	 v41cyiA 	 napravovatel
narušit 	 v41czvA 	 narušitel
narušovat 	 v41czyA 	 narušovatel
naslouchat 	 v41dbsA 	 naslouchač
nastražit 	 v41dcxA 	 nastražitel
našeptávat 	 v41ddyA 	 našeptávač, našeptavač
natírat 	 v41desA 	 natěrač
navíjet 	 v41dgdA 	 navíječ
navrtávat 	 v41dhfA 	 navrtávač
ničit 	 v41dldA 	 ničitel
nudit 	 v41dmeA 	 nudař
obdělávat 	 v41dneA 	 obdělávatel
obdivovat 	 v41dngA 	 obdivovatel
obhajovat 	 v41donA 	 obhajovatel
obhospodařovat 	 v41douA 	 obhospodařovatel
obchodovat 	 v41dpbA 	 obchodník
objednávat 	 v41dplA 	 objednavatel
objevit 	 v41dptA 	 objevitel
objevovat 	 v41dpvA 	 objevovatel
objímat 	 v41dpxA 	 objímač
obléhat 	 v41dqnA 	 obléhatel, oblehatel
obnovit 	 v41driA 	 obnovitel
obrábět 	 v41druA 	 obráběč
obrodit 	 v41dskA 	 obroditel
obšťastňovat 	 v41dtpA 	 obšťastňovatel
obývat 	 v41dulA 	 obyvatel
očišťovat 	 v41dvmA 	 očišťovatel
odesílat 	 v41dzaA 	 odesílatel, odesilatel
odhánět 	 v41dzvA 	 odháněč
odklízet 	 v41ebsA 	 odklízeč
odpalovat 	 v41efhA 	 odpalovač
odpírat 	 v41efkA 	 odpírač
odposlouchávat 	 v41eglA 	 odposlouchávač
odstřelovat 	 v41eknA 	 odstřelovač
odsuzovat 	 v41ekxA 	 odsuzovač
ohýbat 	 v41eqnA 	 ohýbač
ochránit 	 v41eraA 	 ochranitel, ochránce, ochranář
ochutnávat 	 v41erlA 	 ochutnávač, ochutnavač
omývat 	 v41etyA 	 omývač
opěvovat 	 v41evkA 	 opěvovatel
opisovat 	 v41evuA 	 opisovatel, opisovač
opovrhovat 	 v41ewtA 	 opovrhovatel
opylovat 	 v41exwA 	 opylovač
orat 	 v41exxA 	 oráč
orodovat 	 v41eyjA 	 orodovník
osahávat 	 v41eyrA 	 osahávač
oslavovat 	 v41ezsA 	 oslavovatel
osnovat 	 v41fabA 	 osnovatel
ospravedlnit 	 v41fajA 	 ospravedlnitel
ostřelovat 	 v41faoA 	 ostřelovač
osvítit 	 v41fbkA 	 osvětář
ošetřovat 	 v41fbwA 	 ošetřovatel
ověřovat 	 v41fesA 	 ověřovatel
ovlivňovat 	 v41ffiA 	 ovlivňovatel
ožebračovat 	 v41fgpA 	 ožebračovatel
padělat 	 v41fhiA 	 padělatel
páchat 	 v41fhpA 	 pachatel
panovat 	 v41fikA 	 panovník
pašovat 	 v41fjpA 	 pašák
pátrat 	 v41fjvA 	 pátrač
péci 	 v41fkbA 	 pekař
pečovat 	 v41fkeA 	 pečovatel
plašit 	 v41fmpA 	 plašič
plenit 	 v41fnfA 	 plenitel
pobírat 	 v41fopA 	 pobiratel
podrobit 	 v41fuoA 	 podrobitel
podřezávat 	 v41fuyA 	 podřezávač
podvádět 	 v41fvxA 	 podvodník
pohlcovat 	 v41fwtA 	 pohlcovač
pochodovat 	 v41fynA 	 pochodník
pochybovat 	 v41fzeA 	 pochybovač
pojídat 	 v41fzpA 	 pojídač
pojistit 	 v41fzuA 	 pojistitel, pojistník
pojišťovat 	 v41fzzA 	 pojišťovatel, pojišťovák
pomlouvat 	 v41geiA 	 pomlouvač
popichovat 	 v41ggmA 	 popichovač
popírat 	 v41ggoA 	 popírač
popisovat 	 v41ggqA 	 popisovatel
poplatit 	 v41ggxA 	 poplatník
popohánět 	 v41ghhA 	 popoháněč
popravit 	 v41ghvA 	 popravce
poradit 	 v41gipA 	 poradce
porodit 	 v41gjbA 	 porodník
pořádat 	 v41gkcA 	 pořadatel
posoudit 	 v41gmoA 	 posudkář
posunovat 	 v41gomA 	 posunovač
posuzovat 	 v41gorA 	 posuzovatel
posvěcovat 	 v41govA 	 posvěcovatel
poškozovat 	 v41gpgA 	 poškozovatel
potěšit 	 v41gqhA 	 potěšitel
potlačovat 	 v41gqwA 	 potlačovatel
potratit 	 v41grdA 	 potratář
poučovat 	 v41gsiA 	 poučovatel
povolovat 	 v41guoA 	 povolovač
pranýřovat 	 v41gyiA 	 pranýřovatel
prodat 	 v41hbiA 	 prodejce
prodávat 	 v41hblA 	 prodavač
prohledávat 	 v41hdjA 	 prohledávač
promítat 	 v41hhvA 	 promítač
pronásledovat 	 v41hiyA 	 pronásledovatel
proplouvat 	 v41hknA 	 proplouvač
prosazovat 	 v41hmkA 	 prosazovatel
přebásnit 	 v41htxA 	 přebásnitel
předcvičovat 	 v41hvoA 	 předcvičovatel
předčítat 	 v41hvqA 	 předčitatel
předkládat 	 v41hwwA 	 předkladatel
předplatit 	 v41hxlA 	 předplatitel
předříkávat 	 v41hxyA 	 předříkávač
předvádět 	 v41hzaA 	 předváděč
přechovávat 	 v41ibbA 	 přechovávatel, přechovávač
překládat 	 v41ibsA 	 překladatel
překonávat 	 v41iccA 	 překonavatel
překrucovat 	 v41icqA 	 překrucovatel
přemlouvat 	 v41ieoA 	 přemlouvač
přepisovat 	 v41ifzA 	 přepisovatel, přepisovač
přepravit 	 v41igzA 	 přepravce
přerozdělovat 	 v41ihnA 	 přerozdělovatel, přerozdělovač
přestupovat 	 v41ijvA 	 přestupce
přesvědčovat 	 v41ikgA 	 přesvědčovatel
převlékat 	 v41imwA 	 převlékač
přihazovat 	 v41iqoA 	 přihazovač
přihlašovat 	 v41iqwA 	 přihlašovatel
přihrávat 	 v41iriA 	 přihrávač
přikázat 	 v41islA 	 příkazník, příkazce
přiživit 	 v41jcxA 	 příživník
půjčit 	 v41jdlA 	 půjčitel
půjčovat 	 v41jdpA 	 půjčovatel
putovat 	 v41jegA 	 putovník, poutník
rámovat 	 v41jfdA 	 rámař
rozbíjet 	 v41jmaA 	 rozbíječ
rozdávat 	 v41jndA 	 rozdávač, rozdavač
rozehrávat 	 v41jokA 	 rozehrávač
rozmnožovat 	 v41jucA 	 rozmnožovatel
rozplétat 	 v41jvpA 	 rozplétač
rozvážet 	 v41kazA 	 rozvážeč
rozvracet 	 v41kbvA 	 rozvraceč
rozvrátit 	 v41kbxA 	 rozvratitel, rozvratník
ručit 	 v41kcgA 	 ručitel
rvát 	 v41kctA 	 rváč
rýmovat 	 v41kcyA 	 rýmař
rýsovat 	 v41kdbA 	 rýsovač
rýt 	 v41kdeA 	 rytec
řečnit 	 v41kdoA 	 řečník
scelovat 	 v41kfyA 	 scelovač
sedlat 	 v41khuA 	 sedlář
seřizovat 	 v41kjoA 	 seřizovač
shánět 	 v41kmcA 	 sháněč
shromažďovat 	 v41knfA 	 shromažďovatel
signovat 	 v41kolA 	 signatář
sjednocovat 	 v41kpdA 	 sjednocovatel
sjednotit 	 v41kpeA 	 sjednotitel
sjezdit 	 v41kpjA 	 sjezdař
skladovat 	 v41kqiA 	 skladovatel
slídit 	 v41kteA 	 slídič
smrkat 	 v41kwaA 	 smrkáč
snižovat 	 v41kxoA 	 snižovatel
souložit 	 v41kysA 	 souložník
soutěžit 	 v41kzkA 	 soutěžitel
spasit 	 v41lajA 	 spasitel
splétat 	 v41lcbA 	 splétač
sportovat 	 v41lexA 	 sportovec
spořit 	 v41lfaA 	 spořitel
srát 	 v41lgeA 	 sráč
stanovat 	 v41lhuA 	 stanař
stepovat 	 v41ljoA 	 stepař
stopovat 	 v41llcA 	 stopař
střádat 	 v41lmvA 	 střadatel
střežit 	 v41lniA 	 střežitel
stříhat 	 v41lnnA 	 střihač
stvořit 	 v41lnzA 	 stvořitel
sužovat 	 v41lozA 	 sužovatel
svářet 	 v41lpjA 	 svářeč, svařeč
svolat 	 v41lrbA 	 svolatel
syčet 	 v41lrlA 	 syčák
šidit 	 v41lswA 	 šiditel
škodit 	 v41ltlA 	 škodič, škůdce
škrabat 	 v41ltrA 	 škrabač
šňupat 	 v41lulA 	 šňupač
textovat 	 v41lymA 	 textař
tleskat 	 v41lziA 	 tleskač
topit 	 v41maaA 	 topič
trápit 	 v41mbgA 	 trapitel, trapič
trestat 	 v41mcaA 	 trestatel
trýznit 	 v41mdeA 	 trýznitel
ubíjet 	 v41mfgA 	 ubíječ
ubytovat 	 v41mfwA 	 ubytovatel
uctívat 	 v41mgjA 	 uctívatel, uctívač
učit 	 v41mhbA 	 učitel
účtovat 	 v41mhiA 	 účtař
uchovat 	 v41mkdA 	 uchovatel
uchovávat 	 v41mkfA 	 uchovávatel
uklidňovat 	 v41mmdA 	 uklidňovač
uklízet 	 v41mmfA 	 uklízeč
umlčovat 	 v41mpcA 	 umlčovatel
umývat 	 v41mpyA 	 umývač
upadat 	 v41mqlA 	 úpadce
upisovat 	 v41mrgA 	 upisovatel
uplatit 	 v41mroA 	 úplatce
uplatňovat 	 v41mruA 	 uplatňovatel
upomínat 	 v41msdA 	 upomínatel
uskočit 	 v41mvkA 	 úskočník
uskutečňovat 	 v41mvsA 	 uskutečňovatel
usměrňovat 	 v41mwbA 	 usměrňovatel
uspokojit 	 v41mxgA 	 uspokojitel
utěšit 	 v41mzvA 	 utěšitel
utěšovat 	 v41mzwA 	 utěšovatel
utlačovat 	 v41nakA 	 utlačovatel
útočit 	 v41navA 	 útočník
vábit 	 v41nfvA 	 vábič
válet 	 v41ngeA 	 váleč
vandrovat 	 v41nglA 	 vandrovník, vandrák
velebit 	 v41nitA 	 velebitel, velebník
venčit 	 v41njcA 	 venčitel
veslovat 	 v41njuA 	 veslař
věštit 	 v41nkbA 	 věštec
věznit 	 v41nkrA 	 věznitel
vinit 	 v41nllA 	 viník
vlastnit 	 v41nmxA 	 vlastník
vléci 	 v41nmzA 	 vlekař
vraždit 	 v41nqgA 	 vražedník
vtipkovat 	 v41nsnA 	 vtipkář
vycvičit 	 v41nvpA 	 výcvikář
vydírat 	 v41nxqA 	 vyděrač
vydražit 	 v41nxzA 	 vydražitel
vydržovat 	 v41nycA 	 vydržovatel
vyhlazovat 	 v41nzjA 	 vyhlazovatel, vyhlazovač
vyhodnocovat 	 v41oaeA 	 vyhodnocovatel, vyhodnocovač
vychvalovat 	 v41ocqA 	 vychvalovatel
vykořenit 	 v41ofyA 	 vykořenitel
vykořisťovat 	 v41ofzA 	 vykořisťovatel
vykrádat 	 v41oglA 	 vykrádač
vymáhat 	 v41ojpA 	 vymahatel, vymahač
vyměřovat 	 v41okcA 	 vyměřovač
vymývat 	 v41olsA 	 vymývač
vynalézt 	 v41omdA 	 vynálezce
vyplétat 	 v41oouA 	 vyplétač
vypočítat 	 v41oprA 	 výpočtář
vyprazdňovat 	 v41orpA 	 vyprazdňovatel
vypůjčit 	 v41osrA 	 vypůjčitel
vyrábět 	 v41otdA 	 vyráběč
vyrobit 	 v41otrA 	 výrobce
vyrušovat 	 v41ounA 	 vyrušovatel
vysedávat 	 v41ovpA 	 vysedávač
vysekávat 	 v41ovsA 	 vysekávač
vyslýchat 	 v41owwA 	 vyslýchatel
vysvětlovat 	 v41oztA 	 vysvětlovač
vysvobodit 	 v41ozzA 	 vysvoboditel
vyšívat 	 v41parA 	 vyšívač
vytyčovat 	 v41peuA 	 vytyčovatel
vyvažovat 	 v41pgdA 	 vyvažovatel
vyvozit 	 v41phlA 	 vývozce
vyzkoumat 	 v41pilA 	 výzkumník
vyznávat 	 v41pjaA 	 vyznavač
vyzvídat 	 v41pjvA 	 vyzvědač
vyzývat 	 v41pjzA 	 vyzývatel, vyzyvatel
vyživit 	 v41pkrA 	 výživář
vzdělávat 	 v41pllA 	 vzdělavatel
vzývat 	 v41poaA 	 vzývač
zabíjet 	 v41poxA 	 zabíječ, zabiják
zahálet 	 v41pstA 	 zaháleč, zahaleč
zahlazovat 	 v41ptcA 	 zahlazovatel
zachraňovat 	 v41purA 	 zachraňovatel
zakazovat 	 v41pwnA 	 zakazovatel
zametat 	 v41qbjA 	 zametač
zanášet 	 v41qczA 	 zanášeč
zaopatřovat 	 v41qdtA 	 zaopatřovatel
zapírat 	 v41qerA 	 zapírač
zapůjčit 	 v41qhwA 	 zapůjčitel
zaříkávat 	 v41qjmA 	 zaříkávač
zásobit 	 v41qloA 	 zásobitel
zásobovat 	 v41qlqA 	 zásobovatel, zásobovač
zastrašovat 	 v41qmuA 	 zastrašovatel
zastupovat 	 v41qnmA 	 zástupce
zatlačovat 	 v41qpwA 	 zatlačovatel
zavěšovat 	 v41qsqA 	 zavěšovač
závidět 	 v41qstA 	 závistník
závodit 	 v41qtmA 	 závodník
završit 	 v41qtxA 	 završitel
zbavit 	 v41qvqA 	 zbavitel
zbožňovat 	 v41qwjA 	 zbožňovatel
zbudovat 	 v41qwsA 	 zbudovatel
zcizit 	 v41qxbA 	 zcizitel
zdvihat 	 v41qzwA 	 zdvihač
zhoršovat 	 v41rcuA 	 zhoršovatel
zhotovit 	 v41rdaA 	 zhotovitel
zkoumat 	 v41rgsA 	 zkoumatel
zkracovat 	 v41rgyA 	 zkracovatel, zkracovač
zlepšovat 	 v41rikA 	 zlepšovatel
zmocnit 	 v41rlpA 	 zmocnitel
znárodňovat 	 v41rmxA 	 znárodňovatel
znečišťovat 	 v41rnoA 	 znečišťovatel
znesvěcovat 	 v41rovA 	 znesvěcovatel
zneužívat 	 v41rpfA 	 zneuživatel
znevažovat 	 v41rpiA 	 znevažovatel
znovuobjevit 	 v41rpuA 	 znovuobjevitel
zobrazovat 	 v41rqmA 	 zobrazovatel
zosnovat 	 v41rrhA 	 zosnovatel
zpeněžovat 	 v41rsbA 	 zpeněžovatel
zpevňovat 	 v41rskA 	 zpevňovač
zpovídat 	 v41rtoA 	 zpovědník
zpravit 	 v41rucA 	 zprávař
zpronevěřit 	 v41ruhA 	 zpronevěřitel
zradit 	 v41rwdA 	 zrádce
zřizovat 	 v41rybA 	 zřizovatel
ztělesnit 	 v41ryeA 	 ztělesnitel
zvelebit 	 v41sbeA 	 zvelebitel
zvelebovat 	 v41sbfA 	 zvelebovatel
zvěstovat 	 v41sbrA 	 zvěstovatel
ždímat 	 v41sdzA 	 ždímač
žebrat 	 v41seaA 	 žebrák
žehlit 	 v41sebA 	 žehlič
žvýkat 	 v41sexA 	 žvýkač
